date	description
2022-03-01	[DeepViewAgg](https://drprojects.github.io/deepviewagg-site) was accepted for an oral at CVPR’22
2022-06-21	[DeepViewAgg](https://drprojects.github.io/deepviewagg-site) shortlisted as [best paper finalist at CVPR'22](https://x.com/CVPR/status/1539772091112857600)
2022-06-22	[Best of CVPR issue](https://www.rsipvision.com/ComputerVisionNews-2022July/24) — *CV News* interview
2023-07-01	[Superpoint Transformer](https://drprojects.github.io/superpoint-transformer-site) was accepted at ICCV’23
2024-01-01	[SuperCluster](https://drprojects.github.io/supercluster-site) was accepted for an oral at 3DV’24
2024-01-21	PhD defense at [IGN](https://www.ign.fr) in presence of [Cédric Demonceaux](https://sites.google.com/view/cedricdemonceaux/home), [Sébastien Lefèvre](https://people.irisa.fr/Sebastien.Lefevre/), [Patrick Pérez](https://ptrckprz.github.io/), [Siyu Tang](https://vlg.inf.ethz.ch/team/Prof-Dr-Siyu-Tang.html), [Duygu Ceylan](https://www.duygu-ceylan.com/), [Loïc Landrieu](https://loiclandrieu.com/), and [Bruno Vallet](https://www.umr-lastig.fr/bruno-vallet/)
2024-02-01	Joined the [EcoVision](https://dm3l.uzh.ch/en/wegner) lab at [University of Zurich](https://www.uzh.ch/en.html) as a postdoctoral researcher
2024-07-10	Gave a workshop tutorial on [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer-site) hosted by [Florent Poux](https://www.youtube.com/watch?v=2qKhpQs9gJw)
2024-11-22	Nominated as [ECCV'24 outstanding reviewer](https://eccv.ecva.net/Conferences/2024/Reviewers)
2025-02-21	[Teja Kattenborn](https://scholar.google.com/citations?user=pgzIvAcAAAAJ) visit to [EcoVision](https://dm3l.uzh.ch/en/wegner)
2025-04-07	[Kaan Karaman](https://kaankaramanofficial.github.io/) will present [GSR4B](https://github.com/kaankaramanofficial/GSR4B) at the [ISPRS GSW'25](https://gsw2025.ae/)
2025-04-13	Received the [AFRIF 2024 PhD Award accessit](http://afrif.irisa.fr/?page_id=54)
2025-05-05	[Loic Landrieu](https://loiclandrieu.com/) visit to [EcoVision](https://dm3l.uzh.ch/en/wegner) and [ETH AI Center](https://ai.ethz.ch/)
2025-06-23	[Emilia Arens](https://dm3l.uzh.ch/workgroup/wegner/team) and [Johannes Dollinger](https://dm3l.uzh.ch/workgroup/wegner/team) will present our research on _Deep Species Distribution Modeling_ at the [LPS'25](https://lps25.esa.int/)
2025-06-30	[Valerio Marsocci](https://sites.google.com/uniroma1.it/valeriomarsocci) visit to [EcoVision](https://dm3l.uzh.ch/en/wegner)
2026-01-01	I will serve as Area Chair for [ECCV'26](https://eccv.ecva.net/Conferences/2026)
2026-01-22	Released [torch-graph-components](https://github.com/drprojects/torch-graph-components), which isolates the core graph algorithms from [EZ-SP](https://louisgeist.github.io/ez-sp)
2026-02-01	[EZ-SP](https://louisgeist.github.io/ez-sp) was accepted at ICRA'26
2026-02-03	2 of our works were accepted for oral presentations at the [WBF'26](https://worldbiodiversityforum.org)
2026-02-21	[LitePT](https://litept.github.io) was accepted for a highlight at CVPR'26
2026-02-23	1 paper accepted at [EGU'26](https://www.egu26.eu/)
2026-03-15	Visit at [ESA Φ-lab](https://philab.esa.int)
2026-04-09	Will attend [CVPR@Paris'26](https://cvprinparis.github.io/CVPR2026InParis) to present [LitePT](https://litept.github.io) and [EZ-SP](https://louisgeist.github.io/ez-sp)
