title	date	venue	authors	project_url	paper_url	code_url	video_url	bibtex_id	prize	teaser_video	teaser_image
Learning Multi-View Aggregation In the Wild for Large-Scale 3D Semantic Segmentation	2022-06-01	CVPR	me, bruno_vallet, loic_landrieu	https://drprojects.github.io/deepviewagg	https://arxiv.org/abs/2204.07548	https://github.com/drprojects/DeepViewAgg	https://www.youtube.com/watch?v=SoMKwI863tw	robert2022deepviewagg	**🎤 Oral** and **🎉 Best Paper finalist** (top 0.4% submissions)	null	/images/publications/2022/deepviewagg/teaser.png
Efficient 3D Semantic Segmentation with Superpoint Transformer	2023-10-01	ICCV	me, hugo_raguet, loic_landrieu	https://drprojects.github.io/superpoint-transformer	https://arxiv.org/abs/2306.08045	https://github.com/drprojects/superpoint_transformer	null	robert2023spt	null	null	/images/publications/2023/superpoint_transformer/teaser.png
Efficient Learning on Large-Scale 3D Point Clouds	2024-05-01	Universite Gustave Eiffel	me	null	https://hal.science/tel-04448827	https://github.com/drprojects	null	robert2024phd	**🎉 AFRIF PhD Award accessit**	null	/images/publications/2024/phd/teaser.png
Scalable 3D Panoptic Segmentation as Superpoint Graph Clustering	2024-03-01	3DV	me, hugo_raguet, loic_landrieu	https://drprojects.github.io/superpoint-transformer	https://arxiv.org/abs/2401.06704	https://github.com/drprojects/superpoint_transformer	null	robert2024scalable	**Oral 🎤** (top 5.3% submissions)	null	/images/publications/2024/supercluster/teaser.png
Climplicit: Climatic Implicit Embeddings for Global Ecological Tasks	2025-05-01	ICLR - Tackling Climate Change with Machine Learning workshop	johannes_dollinger, me, elena_plekhanova, lukas_drees, jan_dirk_wegner	https://ecovision-uzh.github.io/climplicit	https://arxiv.org/abs/2504.05089	https://github.com/ecovision-uzh/climplicit	null	dollinger2025climplicit	null	null	/images/publications/2025/climplicit/teaser.png
GSR4B: Biomass Map Super-Resolution with Sentinel-1/2 Guidance	2025-04-01	ISPRS Geospatial Week	kaan_karaman, yuchang_jiang, me, vivien_sainte_fare_garnot, maria_joao_santos, jan_dirk_wegner	https://ecovision-uzh.github.io/GSR4B/	https://arxiv.org/abs/2504.01722	https://github.com/kaankaramanofficial/GSR4B	null	karaman2025gsr4b	**🎤 Oral**	null	/images/publications/2025/gsr4b/teaser.png
Lossy Neural Compression for Geospatial Analytics: A Review	2025-01-01	IEEE Geoscience and Remote Sensing Magazine	carlos_gomes, isabelle_wittmann, me, johannes_jakubik, tim_reichelt, michele_martone, stefano_maurogiovanni, rikard_vinge, jonas_hurst, erik_scheurer, rocco_sedona, thomas_brunschwiler, stefan_kesselheim, matej_batic, philip_stier, jan_dirk_wegner, gabriele_cavallaro, edzer_pebesma, michael_marszalek, miguel_a_belenguer_plomer, kennedy_adriko, paolo_fraccaro, romeo_kienzler, rania_briq, sabrina_benassou, michele_lazzarini, conrad_m_albrecht	null 	https://www.arxiv.org/abs/2503.01505	null	null	gomes2025lossy	null	null	/images/publications/2025/lossy_neural_compression_review/teaser.png
MT-GSR4B: Multi-Temporally Guided Super-Resolution for Above-Ground Biomass Estimation	2025-12-01	PFG--Journal of Photogrammetry, Remote Sensing and Geoinformation Science	kaan_karaman, vivien_sainte_fare_garnot, me, maria_joao_santos, jan_dirk_wegner	null	https://link.springer.com/article/10.1007/s41064-025-00370-x	https://github.com/kaankaramanofficial/MTGSR4B	null	karaman2025mt	null	null	/images/publications/2025/mtgsr4b/teaser.png
SSL4Eco: A Global Seasonal Dataset for Geospatial Foundation Models in Ecology	2025-06-01	CVPR - EarthVision workshop	elena_plekhanova, me, johannes_dollinger, emilia_arens, philipp_brun, jan_dirk_wegner, niklaus_zimmermann	https://plekhanovaelena.github.io/ssl4eco/	https://arxiv.org/abs/2504.18256	https://github.com/PlekhanovaElena/ssl4eco	null	plekhanova2025ssl4eco	null	null	/images/publications/2025/ssl4eco/teaser.png
EZ-SP: Fast and Lightweight Superpoint-Based 3D Segmentation	2026-01-01	ICRA	louis_geist, loic_landrieu, me	https://louisgeist.github.io/ez-sp	https://arxiv.org/abs/2512.00385	https://github.com/drprojects/superpoint_transformer	https://www.youtube.com/watch?v=gPqIcGmMT54	geist2025ezsp	null	null	/images/publications/2026/ezsp/teaser.png
FORMSpoT: A Decade of Tree-Level, Country-Scale Forest Monitoring	2026-07-01	arxiv	martin_schwartz, fajwel_fogel, nikola_besic, me, louis_geist, jean_pierre_renaud, jean_matthieu_monnet, clemens_mosig, cédric_vega, alexandre_d_aspremont, loic_landrieu, philippe_ciais	null	https://arxiv.org/abs/2512.17021	null	null	schwartz2026formspot	null	null	/images/publications/2026/formspot/teaser.gif
LitePT: Lighter Yet Stronger Point Transformer	2026-06-01	arxiv	yuanwen_yue, me, jianyuan_wang, sunghwan_hong, jan_dirk_wegner, christian_rupprecht, konrad_schindler	https://litept.github.io	http://arxiv.org/abs/2512.13689	https://github.com/prs-eth/LitePT	null	yuelitept2025	null	null	/images/publications/2026/litept/teaser.png
