date	description
2025-07-10	Workshop tutorial on [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer) hosted by [Florent Poux](https://www.youtube.com/watch?v=2qKhpQs9gJw)
2024-03-01	Presenting [SuperCluster](https://drprojects.github.io/supercluster) at [3DV 2024](https://3dvconf.github.io/2024) (**Oral** 🎉)
2024-01-01	PhD defense on *Efficient Learning on Large-Scale 3D Point Clouds* at [IGN](https://www.ign.fr), in presence of [Sébastien Lefèvre](https://people.irisa.fr/Sebastien.Lefevre/), [Cédric Demonceaux](https://sites.google.com/view/cedricdemonceaux/home), [Patrick Pérez](https://ptrckprz.github.io/), [Siyu Tang](https://vlg.inf.ethz.ch/team/Prof-Dr-Siyu-Tang.html), [Duygu Ceylan](https://www.duygu-ceylan.com/), [Loic Landrieu](https://loiclandrieu.com/), and [Bruno Vallet](https://www.umr-lastig.fr/bruno-vallet/) 🎓
2023-10-01	Presenting [IGN](https://www.ign.fr)'s research on *Large-Scale 2D and 3D Learning* to the [National Land Survey of Finland (NSL)](https://www.maanmittauslaitos.fi/en)
2023-10-01	Presenting [SuperCluster](https://drprojects.github.io/supercluster) to the [Ecole des Ponts, IMAGINE](https://imagine-lab.enpc.fr/) lab
2023-07-01	Presenting [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer) at [ICCV 2023](https://iccv2023.thecvf.com/)
2023-09-01	Presenting [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer) to the [ETH Zürich, Computer Vision and Geometry](https://cvg.ethz.ch/) lab
2023-09-01	Presenting [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer) to the [ETH Zürich, Photogrammetry and Remote Sensing](https://prs.igp.ethz.ch/) lab
2023-06-01	Presenting [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer) to the [ENGIE Lab CRIGEN](https://www.engie.com/en/innovation-transition-energetique/centres-de-recherche/crigen)
2023-05-01	Presenting [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer) to the [University of Zürich, EcoVision](https://www.spacehub.uzh.ch/en/research-areas/earth-observation/EcoVision-Lab.html) lab
2023-05-01	Presenting [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer) to the [Samp](https://samp.ai/) R&D lab
2023-05-01	Presenting [Superpoint Transformer](https://drprojects.github.io/superpoint-transformer) to the [Valeo.ai](https://www.valeo.com/en/valeo-ai/) lab
2022-12-01	Presenting *Self-Supervised Learning for Computer Vision* to the [LASTIG](https://www.umr-lastig.fr) lab
2022-11-01	Presenting [IGN](https://www.ign.fr)'s research on *Large-Scale 2D and 3D Learning* to the [German Federal Agency for Cartography and Geodesy (BKG)](https://www.bkg.bund.de/EN/Home/home.html)
2022-07-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) at [ICVSS](https://iplab.dmi.unict.it/icvss2022/)
2022-06-01	Tutorial _3D Deep Learning for Remote Sensing_ at [ISPRS 2022](https://www.isprs2022-nice.com/)
2022-05-01	Tutorial _3D Deep Learning, Torch-Points3D & DeepViewAgg_ at [ENGIE Lab CRIGEN](https://www.engie.com/en/innovation-transition-energetique/centres-de-recherche/crigen)
2022-06-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) at [CVPR 2022](https://cvpr2022.thecvf.com/) (**Best Paper finalist** 🎉)
2022-06-01	Had the honor to be interviewed for the CV News [Best of CVPR issue](https://www.rsipvision.com/ComputerVisionNews-2022July/24)
2022-06-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) to the [Ecole des Ponts, IMAGINE](https://imagine-lab.enpc.fr/) lab
2022-06-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) at [ISPRS 2022](https://www.isprs2022-nice.com/)
2022-05-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) to the [Ecole Polytechnique, LIX](https://www.lix.polytechnique.fr/) lab
2022-04-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) at the [AI4GEO project](https://www.ai4geo.eu/en/) seminar
2022-03-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) at the [IGN-ENSG Research Days](https://www.ign.fr/agenda/31e-journee-de-la-recherche-de-lign-ensg)
2022-01-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) at the [Information, Signal, Image and Vision research group](https://www.gdr-isis.fr/) seminar
2021-05-01	Presenting [DeepViewAgg](https://drprojects.github.io/deepviewagg) at the [IGN-ENSG Research Days](https://www.ign.fr/agenda/30es-journees-de-la-recherche-ign-ensg)
